Date,New York,London,New Delhi,Canberra
2021-12,4.952315,6.099136,14.883252,16.825455
2022-01,-0.12913036,5.2330546,11.659556,19.478516
2022-02,0.11281033,7.391655,14.524835,18.803305
2022-03,5.459802,7.8287582,22.535921,17.500261
2022-04,8.890018,9.536073,30.659279,13.967406
2022-05,14.704854,13.469968,33.073032,10.672656
2022-06,20.878193,15.84481,33.343216,6.29496
2022-07,25.288643,19.560266,30.478045,5.8318353
2022-08,25.283697,20.406363,29.07212,6.767447
2022-09,21.23498,16.206772,29.488714,9.304099
2022-10,13.737992,13.180905,24.489565,12.384635
2022-11,9.785247,10.975521,20.37366,12.785214
2022-12,2.8416376,4.2172346,14.533252,15.624545
2023-01,4.321,5.788914,11.576351,19.157682
2023-02,3.888241,6.028724,16.581373,18.906609
2023-03,4.5689816,6.5965962,21.276937,18.047722
2023-04,11.664548,8.606771,25.723864,12.717673
2023-05,14.574711,12.287091,29.262548,7.705078
2023-06,19.091228,17.303144,30.521847,7.240121
2023-07,24.2238,17.550241,29.047316,5.693685
2023-08,23.395935,17.779734,30.1882,7.5307293
2023-09,21.03814,18.012753,29.404911,10.770699
2023-10,14.523343,14.072637,25.241455,13.415298
